u_id,c_ref,qty,ts,loc
U_0000128,CON_999999,12.77,2024-12-19 22:12:41,??
U_0000129,CON_999999,5.46,2024-03-27 19:45:28,FR
U_0000130,CON_999999,5.12,2024-11-15 01:06:14,FR
U_0000131,CON_999999,6.93,2024-03-30 09:16:10,FR
U_0000132,CON_999999,1.98,2024-06-13 00:51:56,FR
U_0000133,CON_999999,5.97,2024-06-07 07:22:23,UK
U_0000134,CON_999999,0.09,2024-11-16 14:39:07,DE
U_0000135,CON_999999,5.16,2024-11-25 11:24:21,UK
U_0000136,CON_999999,3.28,2024-12-10 23:09:50,ES
U_0000137,CON_999999,8.99,2024-09-14 17:07:18,??
U_0000138,CON_999999,8.14,2024-01-02 21:37:00,DE
U_0000139,CON_999999,3.84,2024-11-11 21:28:47,DE
U_0000140,CON_999999,0.06,2024-12-06 10:57:57,??
U_0000141,CON_999999,2.33,2024-03-12 08:49:53,??
U_0000142,CON_999999,8.03,2024-03-27 15:08:04,ES
U_0000143,CON_999999,0.6,2024-05-10 08:04:39,US
U_0000144,CON_999999,0.91,2024-02-27 00:21:17,??
U_0000145,CON_999999,8.33,2024-12-04 10:38:05,DE
U_0000146,CON_999999,11.28,2024-12-15 08:05:50,UK
U_0000147,CON_999999,3.1,2024-10-09 13:49:11,DE
U_0000148,CON_999999,5.38,2024-11-01 21:02:28,??
U_0000149,CON_999999,23.31,2024-02-06 00:28:29,??
U_0000150,CON_999999,23.28,2024-07-12 08:00:44,ES
U_0000151,CON_999999,2.94,2024-09-01 21:59:18,ES
U_0000152,CON_999999,13.29,2024-08-10 19:33:39,??
U_0000153,CON_999999,7.21,2024-09-12 09:26:26,UK
U_0000154,CON_999999,29.67,2024-02-21 23:23:23,ES
U_0000155,CON_999999,5.19,2024-12-11 15:20:45,DE
U_0000156,CON_999999,11.92,2024-02-11 00:24:40,FR
U_0000157,CON_999999,11.69,2024-02-15 17:57:15,UK
U_0000158,CON_999999,5.5,2024-11-27 07:44:47,ES
U_0000159,CON_999999,12.7,2024-08-04 18:09:51,US
U_0000160,CON_999999,2.42,2024-03-08 16:48:27,US
U_0000161,CON_999999,1.04,2024-07-26 14:35:43,FR
U_0000162,CON_999999,4.43,2024-08-10 21:23:40,DE
U_0000163,CON_999999,23.01,2024-01-27 22:49:40,??
U_0000164,CON_999999,5.56,2024-04-06 06:22:52,FR
U_0000165,CON_999999,8.07,2024-01-11 14:56:47,DE
U_0000166,CON_999999,7.83,2024-11-11 14:47:38,??
U_0000167,CON_999999,1.14,2024-09-29 00:55:52,??
U_0000168,CON_999999,3.96,2024-05-05 06:13:39,US
U_0000169,CON_999999,9.82,2024-01-29 19:33:39,ES
U_0000170,CON_999999,28.6,2024-01-08 20:59:16,FR
U_0000171,CON_999999,1.47,2024-03-01 04:59:30,ES
U_0000172,CON_999999,4.23,2024-06-25 01:45:52,US
U_0000173,CON_999999,0.8,2024-02-03 08:26:21,DE
U_0000174,CON_999999,2.22,2024-08-25 01:38:41,??
U_0000175,CON_999999,3.78,2024-01-07 20:26:05,ES
U_0000176,CON_999999,6.22,2024-05-16 13:22:24,US
U_0000177,CON_999999,2.1,2024-12-15 16:09:20,UK
U_0000178,CON_999999,2.07,2024-09-05 23:04:04,??
U_0000179,CON_999999,12.03,2024-07-21 07:30:34,FR
U_0000180,CON_999999,26.3,2024-02-04 00:00:30,DE
U_0000181,CON_999999,3.13,2024-04-13 00:16:51,DE
U_0000182,CON_999999,9.32,2024-06-27 13:11:59,UK
U_0000183,CON_999999,2.39,2024-12-02 19:26:36,??
U_0000184,CON_999999,21.04,2024-08-30 19:06:46,??
U_0000185,CON_999999,8.94,2024-08-11 06:26:25,FR
U_0000186,CON_999999,12.98,2024-06-11 23:25:58,ES
U_0000187,CON_999999,0.4,2024-09-16 07:46:23,US
U_0000188,CON_999999,7.3,2024-01-20 21:58:19,US
U_0000189,CON_999999,6.0,2024-10-02 00:34:50,ES
U_0000190,CON_999999,2.77,2024-05-09 06:09:52,ES
U_0000191,CON_999999,2.44,2024-05-26 09:45:59,FR
U_0000192,CON_999999,6.94,2024-02-24 14:23:04,UK
U_0000193,CON_999999,9.81,2024-04-04 10:51:06,US
U_0000194,CON_999999,0.27,2024-12-16 12:18:01,UK
U_0000195,CON_999999,6.7,2024-03-25 05:56:47,FR
U_0000196,CON_999999,1.5,2024-01-14 16:08:18,ES
U_0000197,CON_999999,1.21,2024-08-17 10:09:33,??
U_0000198,CON_999999,7.81,2024-04-09 06:13:14,US
U_0000199,CON_999999,2.98,2024-06-27 03:23:47,UK
U_0000200,CON_999999,4.65,2024-08-11 23:11:42,DE
U_0000201,CON_999999,3.57,2024-10-14 17:24:27,US
U_0000202,CON_999999,8.36,2024-12-20 13:36:23,DE
U_0000203,CON_999999,5.08,2024-10-01 21:16:29,DE
U_0000204,CON_999999,26.47,2024-06-23 21:23:40,DE
U_0000205,CON_999999,3.48,2024-06-05 21:19:42,DE
U_0000206,CON_999999,10.79,2024-07-19 02:28:30,??
U_0000207,CON_999999,2.38,2024-07-23 12:54:01,US
U_0000208,CON_999999,5.69,2024-05-10 18:44:36,DE
U_0000209,CON_999999,6.43,2024-10-08 23:56:37,??
U_0000210,CON_999999,3.19,2024-04-13 06:31:51,US
U_0000211,CON_999999,5.11,2024-03-17 16:37:14,ES
U_0000212,CON_999999,2.62,2024-04-11 09:40:20,UK
U_0000213,CON_999999,0.05,2024-11-03 05:36:45,UK
U_0000214,CON_999999,1.94,2024-09-06 18:52:02,UK
U_0000215,CON_999999,9.63,2024-05-29 17:05:44,ES
U_0000216,CON_999999,11.79,2024-11-06 03:57:18,UK
U_0000217,CON_999999,2.63,2024-11-29 19:12:49,??
U_0000218,CON_999999,4.19,2024-11-17 18:00:34,ES
U_0000219,CON_999999,0.3,2024-04-16 08:08:01,FR
U_0000220,CON_999999,2.16,2024-05-06 03:51:12,US
U_0000221,CON_999999,12.08,2024-07-15 12:13:58,FR
U_0000222,CON_999999,7.45,2024-03-01 10:11:04,ES
U_0000223,CON_999999,1.84,2024-08-25 02:11:36,DE
U_0000224,CON_999999,2.38,2024-05-05 21:46:31,ES
U_0000225,CON_999999,13.58,2024-04-10 11:11:12,??
U_0000226,CON_999999,1.88,2024-06-05 11:22:26,US
U_0000227,CON_999999,3.25,2024-11-22 00:45:19,FR
U_0000228,CON_999999,8.73,2024-03-20 22:17:02,ES
U_0000229,CON_999999,6.59,2024-12-02 02:43:16,US
U_0000230,CON_999999,4.94,2024-11-25 05:39:45,DE
U_0000231,CON_999999,18.4,2024-07-04 04:33:22,??
U_0000232,CON_999999,1.98,2024-03-21 16:29:17,FR
U_0000233,CON_999999,10.82,2024-04-06 10:16:41,FR
U_0000234,CON_999999,1.39,2024-03-26 06:55:59,UK
U_0000235,CON_999999,7.65,2024-12-29 22:41:40,FR
U_0000236,CON_999999,16.36,2024-01-04 19:54:14,UK
U_0000237,CON_999999,4.9,2024-01-17 05:55:45,FR
U_0000238,CON_999999,10.31,2024-03-27 11:57:52,FR
U_0000239,CON_999999,13.74,2024-10-09 22:19:37,ES
U_0000240,CON_999999,1.17,2024-01-03 16:16:37,DE
U_0000241,CON_999999,9.79,2024-04-15 19:06:04,??
U_0000242,CON_999999,20.19,2024-06-26 05:05:13,DE
U_0000243,CON_999999,6.87,2024-02-08 11:37:38,FR
U_0000244,CON_999999,1.65,2024-05-28 00:31:20,FR
U_0000245,CON_999999,1.09,2024-09-16 06:37:48,UK
U_0000246,CON_999999,2.41,2024-06-06 07:06:36,DE
U_0000247,CON_999999,0.87,2024-11-11 10:24:42,??
U_0000248,CON_999999,5.76,2024-12-08 08:07:12,ES
U_0000249,CON_999999,0.58,2024-02-28 20:48:00,DE
U_0000250,CON_999999,2.02,2024-04-01 11:39:28,US
U_0000251,CON_999999,4.64,2024-04-20 11:02:02,DE
U_0000252,CON_999999,5.14,2024-09-10 06:45:11,ES
U_0000253,CON_999999,6.67,2024-03-09 13:59:36,DE
U_0000254,CON_999999,9.78,2024-05-22 03:06:03,??
U_0000255,CON_999999,0.39,2024-04-06 02:24:52,ES
U_0000256,CON_999999,0.67,2024-10-16 06:44:11,UK
U_0000257,CON_999999,0.5,2024-09-07 16:21:12,FR
U_0000258,CON_999999,4.4,2024-11-18 19:14:15,??
U_0000259,CON_999999,0.34,2024-01-19 03:26:06,??
U_0000260,CON_999999,10.97,2024-02-16 22:36:48,UK
U_0000261,CON_999999,2.02,2024-12-18 22:55:07,FR
U_0000262,CON_999999,22.4,2024-02-18 20:01:00,UK
U_0000263,CON_999999,5.33,2024-09-02 23:53:16,UK
U_0000264,CON_999999,4.73,2024-07-23 09:33:04,FR
U_0000265,CON_999999,12.13,2024-11-09 14:00:08,ES
U_0000266,CON_999999,9.99,2024-09-01 07:31:55,US
U_0000267,CON_999999,7.48,2024-11-08 03:32:22,FR
U_0000268,CON_999999,21.89,2024-02-04 15:00:53,ES
U_0000269,CON_999999,4.39,2024-08-18 06:55:06,ES
U_0000270,CON_999999,13.22,2024-04-21 21:31:26,ES
U_0000271,CON_999999,3.83,2024-01-05 15:20:34,??
U_0000272,CON_999999,14.58,2024-10-19 01:20:15,DE
U_0000273,CON_999999,2.4,2024-01-02 12:19:00,FR
U_0000274,CON_999999,2.73,2024-02-12 04:19:39,FR
U_0000275,CON_999999,9.06,2024-02-04 20:43:27,UK
U_0000276,CON_999999,1.91,2024-02-22 20:08:46,FR
U_0000277,CON_999999,2.08,2024-08-16 05:31:48,ES
U_0000278,CON_999999,2.91,2024-05-13 13:54:08,US
U_0000279,CON_999999,9.09,2024-02-22 02:50:57,US
U_0000280,CON_999999,17.61,2024-01-21 00:35:08,UK
U_0000281,CON_999999,8.98,2024-07-08 13:26:30,FR
U_0000282,CON_999999,14.07,2024-09-14 18:54:32,US
U_0000283,CON_999999,6.27,2024-10-07 14:06:40,FR
U_0000284,CON_999999,0.57,2024-07-14 05:21:42,UK
U_0000285,CON_999999,0.85,2024-02-09 15:44:03,FR
U_0000286,CON_999999,6.47,2024-07-26 22:07:20,UK
U_0000287,CON_999999,3.18,2024-07-11 06:07:31,DE
U_0000288,CON_999999,1.99,2024-10-11 23:21:48,US
U_0000289,CON_999999,5.02,2024-09-11 23:51:36,UK
U_0000290,CON_999999,8.78,2024-04-23 10:05:53,UK
U_0000291,CON_999999,3.89,2024-02-07 22:49:14,UK
U_0000292,CON_999999,12.98,2024-04-27 19:28:30,UK
U_0000293,CON_999999,10.73,2024-05-30 01:41:15,UK
U_0000294,CON_999999,10.62,2024-05-15 03:05:06,UK
U_0000295,CON_999999,33.7,2024-06-10 14:21:53,FR
U_0000296,CON_999999,2.8,2024-11-16 20:39:52,??
U_0000297,CON_999999,8.28,2024-06-11 04:21:19,ES
U_0000298,CON_999999,15.47,2024-09-09 22:52:33,UK
U_0000299,CON_999999,6.93,2024-04-01 19:27:51,ES
U_0000300,CON_999999,12.47,2024-06-23 23:44:37,DE
U_0000301,CON_999999,4.28,2024-01-18 06:05:39,??
U_0000302,CON_999999,7.14,2024-07-10 16:36:35,DE
U_0000303,CON_999999,0.46,2024-01-15 10:54:44,US
U_0000304,CON_999999,34.02,2024-09-02 07:39:12,UK
U_0000305,CON_999999,12.88,2024-04-11 06:01:16,??
U_0000306,CON_999999,16.25,2024-10-24 22:42:29,US
U_0000307,CON_999999,9.48,2024-09-25 01:48:22,US
U_0000308,CON_999999,1.65,2024-04-01 12:53:08,US
U_0000309,CON_999999,0.25,2024-09-05 15:29:41,US
U_0000310,CON_999999,16.0,2024-09-13 04:02:42,FR
U_0000311,CON_999999,4.04,2024-07-03 09:46:06,UK
U_0000312,CON_999999,2.45,2024-03-16 18:47:51,FR
U_0000313,CON_999999,6.6,2024-10-24 06:40:06,US
U_0000314,CON_999999,4.37,2024-12-25 08:05:30,UK
U_0000315,CON_999999,8.44,2024-06-26 01:39:44,DE
U_0000316,CON_999999,5.29,2024-09-30 08:30:47,FR
U_0000317,CON_999999,9.56,2024-05-22 16:12:42,DE
U_0000318,CON_999999,15.36,2024-02-01 11:39:57,UK
U_0000319,CON_999999,1.74,2024-04-09 02:56:18,??
U_0000320,CON_999999,3.2,2024-04-01 15:44:51,US
U_0000321,CON_999999,4.59,2024-05-25 03:29:35,UK
U_0000322,CON_999999,26.17,2024-04-02 23:19:55,US
U_0000323,CON_999999,3.64,2024-11-30 00:11:16,DE
U_0000324,CON_999999,3.84,2024-05-04 17:31:08,UK
U_0000325,CON_999999,8.48,2024-05-16 12:26:23,UK
U_0000326,CON_999999,4.35,2024-10-15 04:53:42,UK
U_0000327,CON_999999,24.16,2024-04-12 00:55:40,FR
U_0000328,CON_999999,17.99,2024-06-15 05:23:17,ES
U_0000329,CON_999999,5.76,2024-10-14 13:46:03,??
U_0000330,CON_999999,8.28,2024-03-05 05:12:45,FR
U_0000331,CON_999999,0.48,2024-02-18 22:36:09,DE
U_0000332,CON_999999,9.52,2024-02-29 03:59:55,US
U_0000333,CON_999999,9.83,2024-09-21 11:44:00,DE
U_0000334,CON_999999,3.56,2024-07-26 22:31:40,UK
U_0000335,CON_999999,1.98,2024-12-09 12:25:10,ES
U_0000336,CON_999999,19.73,2024-10-02 08:21:32,UK
U_0000337,CON_999999,4.45,2024-04-26 17:04:58,FR
U_0000338,CON_999999,8.48,2024-06-26 22:43:05,US
U_0000339,CON_999999,0.27,2024-10-23 07:15:09,??
U_0000340,CON_999999,4.28,2024-12-24 21:39:52,DE
U_0000341,CON_999999,13.6,2024-06-06 02:36:15,FR
U_0000342,CON_999999,3.92,2024-05-30 07:09:39,ES
U_0000343,CON_999999,7.39,2024-01-14 19:36:50,FR
U_0000344,CON_999999,1.88,2024-01-22 21:37:01,FR
U_0000345,CON_999999,4.31,2024-08-25 09:53:53,ES
U_0000346,CON_999999,21.01,2024-07-08 02:47:27,DE
U_0000347,CON_999999,6.69,2024-04-29 04:15:34,US
U_0000348,CON_999999,18.58,2024-10-30 19:23:04,FR
U_0000349,CON_999999,18.58,2024-12-18 04:33:59,UK
U_0000350,CON_999999,23.08,2024-12-16 07:11:52,DE
U_0000351,CON_999999,18.06,2024-10-28 10:01:58,DE
U_0000352,CON_999999,0.03,2024-08-12 03:31:52,??
U_0000353,CON_999999,21.75,2024-01-01 13:33:13,??
U_0000354,CON_999999,1.18,2024-08-11 12:29:59,ES
U_0000355,CON_999999,0.33,2024-12-21 00:21:48,DE
U_0000356,CON_999999,0.46,2024-12-22 10:50:42,??
U_0000357,CON_999999,3.43,2024-02-05 10:18:48,UK
U_0000358,CON_999999,7.76,2024-09-08 01:13:23,DE
U_0000359,CON_999999,4.12,2024-02-29 20:37:40,US
U_0000360,CON_999999,0.21,2024-05-27 19:27:21,ES
U_0000361,CON_999999,5.18,2024-02-11 21:24:55,UK
U_0000362,CON_999999,4.67,2024-08-23 12:46:06,US
U_0000363,CON_999999,11.31,2024-03-28 22:32:29,ES
U_0000364,CON_999999,2.62,2024-05-25 01:28:47,ES
U_0000365,CON_999999,1.96,2024-08-03 11:53:06,US
U_0000366,CON_999999,2.37,2024-02-08 02:52:00,DE
U_0000367,CON_999999,2.9,2024-05-23 05:23:41,UK
U_0000368,CON_999999,7.31,2024-02-09 07:31:40,UK
U_0000369,CON_999999,5.1,2024-04-25 13:15:28,FR
U_0000370,CON_999999,3.29,2024-02-07 12:09:10,FR
U_0000371,CON_999999,3.75,2024-07-30 07:05:04,ES
U_0000372,CON_999999,3.71,2024-11-01 08:11:42,FR
U_0000373,CON_999999,28.72,2024-12-03 05:23:42,UK
U_0000374,CON_999999,2.12,2024-05-24 00:26:00,UK
U_0000375,CON_999999,13.63,2024-08-29 15:05:36,FR
U_0000376,CON_999999,9.85,2024-11-16 09:19:14,FR
U_0000377,CON_999999,0.04,2024-12-22 17:29:12,??
U_0000378,CON_999999,39.9,2024-04-25 10:44:02,??
U_0000379,CON_999999,11.3,2024-01-23 00:38:52,ES
U_0000380,CON_999999,9.18,2024-01-23 09:46:54,UK
U_0000381,CON_999999,4.16,2024-04-30 17:06:22,??
U_0000382,CON_999999,6.48,2024-07-16 21:43:46,DE
U_0000383,CON_999999,2.34,2024-08-23 03:05:08,UK
U_0000384,CON_999999,0.29,2024-11-07 19:48:39,ES
U_0000385,CON_999999,14.46,2024-06-04 23:18:31,US
U_0000386,CON_999999,18.14,2024-05-10 03:51:52,??
U_0000387,CON_999999,1.42,2024-06-17 19:59:03,FR
U_0000388,CON_999999,12.37,2024-01-04 00:34:36,US
U_0000389,CON_999999,10.81,2024-08-02 09:44:06,FR
U_0000390,CON_999999,1.57,2024-04-07 02:21:20,FR
U_0000391,CON_999999,4.38,2024-05-30 03:40:37,DE
U_0000392,CON_999999,4.4,2024-08-06 17:13:17,DE
U_0000393,CON_999999,11.42,2024-05-23 06:51:03,FR
U_0000394,CON_999999,14.54,2024-04-15 04:25:00,UK
U_0000395,CON_999999,0.8,2024-09-17 07:54:07,ES
U_0000396,CON_999999,6.62,2024-04-15 16:29:04,ES
U_0000397,CON_999999,11.48,2024-08-20 01:23:42,FR
U_0000398,CON_999999,12.34,2024-11-29 11:04:51,ES
U_0000399,CON_999999,1.28,2024-05-01 21:44:20,ES
U_0000400,CON_999999,5.96,2024-12-17 21:00:38,UK
U_0000401,CON_999999,15.59,2024-05-26 17:40:08,??
U_0000402,CON_999999,3.07,2024-10-16 01:33:46,UK
U_0000403,CON_999999,4.43,2024-09-29 06:15:33,FR
U_0000404,CON_999999,13.05,2024-12-17 11:26:56,??
U_0000405,CON_999999,0.75,2024-08-07 20:06:35,ES
U_0000406,CON_999999,15.7,2024-11-16 04:57:35,FR
U_0000407,CON_999999,2.98,2024-06-30 07:05:03,UK
U_0000408,CON_999999,0.01,2024-06-28 13:43:35,ES
U_0000409,CON_999999,2.13,2024-05-20 00:38:05,UK
U_0000410,CON_999999,0.75,2024-05-23 03:14:51,US
U_0000411,CON_999999,0.78,2024-06-15 09:10:16,??
U_0000412,CON_999999,9.44,2024-12-20 23:25:39,ES
U_0000413,CON_999999,1.93,2024-12-06 22:13:49,US
U_0000414,CON_999999,21.84,2024-10-23 08:04:06,US
U_0000415,CON_999999,5.81,2024-01-26 19:47:47,UK
U_0000416,CON_999999,4.93,2024-03-03 07:24:30,UK
U_0000417,CON_999999,4.56,2024-04-05 12:06:42,DE
U_0000418,CON_999999,9.44,2024-04-23 07:07:37,??
U_0000419,CON_999999,4.82,2024-01-07 17:01:36,ES
U_0000420,CON_999999,1.1,2024-01-18 15:09:26,??
U_0000421,CON_999999,16.97,2024-02-01 19:22:40,DE
U_0000422,CON_999999,4.47,2024-10-20 03:12:11,??
U_0000423,CON_999999,0.62,2024-09-27 23:04:11,FR
U_0000424,CON_999999,6.03,2024-05-07 07:50:37,FR
U_0000425,CON_999999,8.34,2024-02-21 20:20:38,??
U_0000426,CON_999999,2.58,2024-03-10 10:00:42,UK
U_0000427,CON_999999,12.89,2024-08-25 19:42:00,FR
U_0000428,CON_999999,8.86,2024-01-11 05:06:10,US
U_0000429,CON_999999,8.41,2024-12-08 15:47:39,??
U_0000430,CON_999999,4.37,2024-04-24 01:51:41,FR
U_0000431,CON_999999,26.14,2024-01-10 20:19:48,DE
U_0000432,CON_999999,2.56,2024-09-01 05:52:30,ES
U_0000433,CON_999999,6.9,2024-02-04 18:17:34,UK
U_0000434,CON_999999,2.96,2024-05-18 18:24:56,ES
U_0000435,CON_999999,10.93,2024-01-10 22:50:47,UK
U_0000436,CON_999999,0.39,2024-07-06 11:19:35,??
U_0000437,CON_999999,0.38,2024-06-16 04:06:43,FR
U_0000438,CON_999999,13.32,2024-03-05 01:52:55,FR
U_0000439,CON_999999,4.56,2024-08-18 12:31:37,UK
U_0000440,CON_999999,3.34,2024-10-05 22:21:13,ES
