con_id,cli_ref,p_type,val_mo,st,dt_start
CON_000094,C_01424,F1,64.63,1,2021-08-18
CON_000095,C_01443,F2,47.62,1,2022-06-20
CON_000096,C_01938,M2,106.39,1,2021-02-02
CON_000097,C_04854,F2,32.9,1,2023-04-14
CON_000098,C_02606,M2,52.01,0,2022-01-07
CON_000099,C_02940,F2,96.29,0,2020-03-30
CON_000100,C_04847,F2,18.19,1,2020-03-01
CON_000101,C_00232,F2,9999.99,1,2021-02-11
CON_000102,C_02881,F1,9999.99,1,2021-02-09
CON_000103,C_04651,F2,9999.99,1,2021-08-04
CON_000104,C_04618,M2,9999.99,1,2020-12-22
CON_000105,C_01165,M2,9999.99,1,2021-03-24
CON_000106,C_04613,M2,9999.99,1,2021-06-20
CON_000107,C_01543,F1,9999.99,1,2020-12-22
CON_000108,C_04033,F2,9999.99,-1,2021-11-26
CON_000109,C_04442,F2,9999.99,0,2023-02-09
CON_000110,C_02532,M1,9999.99,1,2021-05-18
CON_000111,C_01439,F1,9999.99,1,2020-12-31
CON_000112,C_04018,M2,-1.0,-1,2021-02-05
CON_000113,C_00311,M2,-1.0,1,2020-02-14
CON_000114,C_00740,F2,-1.0,1,2020-12-26
CON_000115,C_00461,M2,-1.0,1,2021-06-20
CON_000116,C_01906,F2,-1.0,1,2020-07-26
CON_000117,C_04929,F2,-1.0,0,2020-02-12
CON_000118,C_01793,M1,-1.0,1,2020-10-08
CON_000119,C_00164,F1,-1.0,1,2022-02-15
CON_000120,C_04313,F2,-1.0,1,2020-08-15
CON_000121,C_03916,F2,-1.0,1,2021-11-24
CON_000122,C_00006,F2,100.4,1,2021-03-06
CON_000123,C_02718,M1,25.37,1,2021-09-16
CON_000124,C_01651,F2,22.31,1,2022-07-23
CON_000125,C_01069,F1,31.13,1,2021-05-06
CON_000126,C_02792,F1,95.26,1,2022-01-27
CON_000127,C_01454,M2,91.02,1,2022-02-01
CON_000128,C_02651,F1,74.33,1,2020-12-16
CON_000129,C_00488,M2,64.16,1,2022-12-15
CON_000130,C_00180,F1,108.27,1,2022-06-07
CON_000131,C_01211,M2,95.5,1,2020-05-13
CON_000132,C_04806,F2,100.25,1,2020-08-30
CON_000133,C_01161,M1,100.39,-1,2020-10-22
CON_000134,C_00909,M1,82.49,1,2020-09-24
CON_000135,C_04312,M1,63.09,1,2021-01-23
CON_000136,C_02990,F2,105.79,1,2021-01-27
CON_000137,C_00595,M1,112.23,1,2022-12-26
CON_000138,C_03061,F1,17.5,1,2022-02-13
CON_000139,C_03241,M2,20.41,1,2022-02-05
CON_000140,C_04801,F2,115.67,1,2021-10-13
CON_000141,C_00828,M1,44.1,1,2022-05-29
CON_000142,C_02758,F1,106.7,1,2021-05-15
CON_000143,C_02473,F1,55.82,1,2020-04-04
CON_000144,C_02643,F2,27.51,1,2021-01-22
CON_000145,C_01118,F2,23.45,1,2023-01-01
CON_000146,C_01291,M1,31.43,0,2021-08-25
CON_000147,C_03579,M2,41.24,-1,2020-10-31
CON_000148,C_03992,M1,66.29,1,2021-11-02
CON_000149,C_02600,M1,88.66,1,2021-05-21
CON_000150,C_01428,F2,118.57,1,2020-04-19
CON_000151,C_04604,M1,61.36,1,2021-07-27
CON_000152,C_02924,M1,69.41,1,2020-09-15
CON_000153,C_01829,M2,69.79,1,2022-11-06
CON_000154,C_04825,F1,71.64,1,2023-04-11
CON_000155,C_01437,F1,69.36,1,2022-09-28
CON_000156,C_03100,M2,15.92,1,2021-03-04
CON_000157,C_02514,F1,15.18,1,2020-06-15
CON_000158,C_02413,M1,25.25,1,2022-08-21
CON_000159,C_01044,M2,25.66,1,2020-05-12
CON_000160,C_01456,M2,89.01,1,2020-12-08
CON_000161,C_00015,F2,36.52,1,2022-11-07
CON_000162,C_04693,F1,108.94,1,2022-03-05
CON_000163,C_03208,F2,112.5,1,2022-11-08
CON_000164,C_04649,M1,117.47,1,2022-02-05
CON_000165,C_00266,M2,113.6,1,2022-10-18
CON_000166,C_01492,M1,43.55,1,2022-11-28
CON_000167,C_04935,F1,68.53,1,2022-08-08
CON_000168,C_02607,F2,33.42,1,2021-01-01
CON_000169,C_01810,F1,99.65,1,2021-10-21
CON_000170,C_04633,M1,108.29,1,2022-02-04
CON_000171,C_00853,F2,104.39,1,2022-12-12
CON_000172,C_04065,F1,60.5,1,2022-09-16
CON_000173,C_01153,M1,94.66,0,2022-10-10
CON_000174,C_02713,F1,25.25,1,2022-08-28
CON_000175,C_00638,M2,19.23,0,2021-07-03
CON_000176,C_01950,F2,94.09,1,2023-04-05
CON_000177,C_02842,F2,59.66,-1,2022-04-01
CON_000178,C_02618,F2,119.53,1,2023-04-10
CON_000179,C_01376,M2,25.21,-1,2020-03-15
CON_000180,C_00727,F2,104.84,1,2021-02-28
CON_000181,C_02751,M2,65.4,1,2021-03-25
CON_000182,C_03659,F2,101.85,1,2021-02-19
CON_000183,C_00094,F1,100.8,-1,2022-07-14
CON_000184,C_02173,F1,111.18,1,2021-04-25
CON_000185,C_01718,F1,46.27,1,2022-03-21
CON_000186,C_02045,F1,114.73,1,2021-03-23
CON_000187,C_00556,M2,30.93,1,2021-09-18
CON_000188,C_02872,M1,23.61,1,2022-05-20
CON_000189,C_02103,M1,60.32,1,2022-02-11
CON_000190,C_00886,F1,101.97,-1,2023-03-16
CON_000191,C_00011,M1,64.71,0,2020-11-17
CON_000192,C_00395,M1,102.08,1,2022-02-05
CON_000193,C_03162,F2,91.62,1,2021-06-05
CON_000194,C_03590,M2,36.99,1,2023-02-01
CON_000195,C_03438,F1,114.63,1,2020-06-22
CON_000196,C_01363,M1,21.38,1,2020-10-02
CON_000197,C_03392,M1,109.32,1,2020-06-21
CON_000198,C_04040,F1,46.97,1,2021-08-27
CON_000199,C_03103,F2,67.52,0,2022-06-29
CON_000200,C_02878,F1,59.35,-1,2022-11-28
CON_000201,C_04474,F2,33.04,1,2021-12-21
CON_000202,C_03075,M1,52.61,-1,2021-04-16
CON_000203,C_00831,M2,35.26,1,2023-04-10
CON_000204,C_03928,F2,36.41,1,2020-03-25
CON_000205,C_04736,F2,34.64,1,2022-08-10
CON_000206,C_01848,F1,66.35,1,2022-11-15
CON_000207,C_01333,M1,98.78,1,2021-11-19
CON_000208,C_03697,M2,74.74,1,2022-05-22
CON_000209,C_00604,F1,108.79,1,2022-07-12
CON_000210,C_00274,F1,81.84,1,2022-08-15
CON_000211,C_02416,M2,87.38,1,2022-06-04
CON_000212,C_00165,M1,85.1,1,2022-04-17
CON_000213,C_02611,M2,62.19,1,2022-01-22
CON_000214,C_02140,F1,87.38,1,2022-10-15
CON_000215,C_00858,F1,22.32,1,2021-10-11
CON_000216,C_00608,F2,105.28,1,2021-07-13
CON_000217,C_02801,M2,96.67,0,2022-02-22
CON_000218,C_01394,M2,40.75,1,2020-02-20
CON_000219,C_03076,M2,95.64,1,2021-01-02
CON_000220,C_01319,F1,16.33,1,2022-06-23
CON_000221,C_00615,M1,37.81,1,2021-04-23
CON_000222,C_04482,F1,21.84,1,2021-06-27
CON_000223,C_00763,F2,96.92,1,2020-06-04
CON_000224,C_02769,F1,94.37,0,2022-01-05
CON_000225,C_04867,F1,100.43,1,2020-06-17
CON_000226,C_03955,F1,15.47,1,2021-08-26
CON_000227,C_00254,F2,67.63,0,2022-10-24
CON_000228,C_03534,M2,89.01,1,2022-11-16
CON_000229,C_01352,M1,31.32,-1,2023-01-24
CON_000230,C_04976,M1,83.23,1,2020-06-09
CON_000231,C_03557,F2,23.83,1,2021-07-20
CON_000232,C_01287,M2,34.04,1,2021-04-11
CON_000233,C_00439,M2,64.96,1,2020-07-20
CON_000234,C_00830,F2,83.62,1,2020-08-30
CON_000235,C_02713,F1,30.32,1,2020-05-26
CON_000236,C_01684,M2,34.45,1,2022-01-07
CON_000237,C_01557,M1,36.47,1,2020-03-19
CON_000238,C_03353,F2,40.06,1,2023-01-23
CON_000239,C_04540,M1,38.79,1,2021-02-14
CON_000240,C_04425,F1,56.49,-1,2021-11-14
CON_000241,C_02174,F2,83.65,0,2021-02-06
CON_000242,C_02307,M1,60.99,1,2021-11-05
CON_000243,C_02437,M1,96.48,1,2021-05-27
CON_000244,C_01946,F1,90.52,1,2021-09-11
CON_000245,C_00786,F2,28.29,1,2021-07-16
CON_000246,C_00407,M2,20.13,-1,2021-01-25
CON_000247,C_03219,M2,107.18,1,2020-10-09
CON_000248,C_04684,M1,23.38,0,2023-01-17
CON_000249,C_04503,F1,30.58,1,2021-06-18
CON_000250,C_04022,M1,17.32,1,2020-01-18
CON_000251,C_01259,F1,80.98,-1,2021-09-05
CON_000252,C_00447,M2,76.15,1,2021-07-31
CON_000253,C_02956,M1,118.62,1,2021-12-10
CON_000254,C_00032,M1,108.13,1,2022-04-07
CON_000255,C_03503,F1,58.14,1,2022-04-10
CON_000256,C_00718,F2,54.02,1,2023-04-02
CON_000257,C_02413,F1,46.17,-1,2020-01-25
CON_000258,C_04917,F2,31.0,1,2022-08-24
CON_000259,C_03935,M2,29.5,0,2022-11-15
CON_000260,C_01636,M1,28.89,1,2020-11-01
CON_000261,C_00795,M1,26.98,1,2022-03-25
CON_000262,C_00211,F1,40.25,-1,2021-04-11
CON_000263,C_01696,F1,47.2,1,2021-04-09
CON_000264,C_01400,M2,115.97,1,2021-03-05
CON_000265,C_02391,M2,75.74,1,2022-08-29
CON_000266,C_00672,F2,118.7,1,2021-04-23
CON_000267,C_03880,M2,54.11,1,2022-11-22
CON_000268,C_00947,M2,63.05,0,2023-02-05
CON_000269,C_02527,M2,49.08,-1,2022-08-17
CON_000270,C_03257,M2,34.2,1,2022-08-02
CON_000271,C_03858,F2,30.03,1,2021-11-28
CON_000272,C_04007,M2,114.23,0,2020-06-24
CON_000273,C_02171,F2,118.62,1,2021-10-03
CON_000274,C_00747,F1,19.72,1,2021-01-19
CON_000275,C_04458,M1,30.79,1,2022-05-28
CON_000276,C_03175,F1,59.47,1,2022-05-05
CON_000277,C_01515,M2,34.57,1,2021-03-05
CON_000278,C_03040,M1,53.21,1,2022-06-17
CON_000279,C_03125,M2,28.56,1,2022-07-10
CON_000280,C_03027,M2,62.93,1,2023-02-17
CON_000281,C_01529,F1,43.53,1,2020-03-02
CON_000282,C_03652,M2,51.95,1,2022-02-06
CON_000283,C_00366,F1,24.9,1,2020-10-11
CON_000284,C_02157,M2,59.95,1,2023-03-28
CON_000285,C_03603,F2,118.24,1,2020-09-19
CON_000286,C_03810,M1,49.53,0,2021-09-17
CON_000287,C_02158,F1,107.03,-1,2020-01-20
CON_000288,C_01854,F1,103.54,1,2022-10-20
CON_000289,C_02201,M1,114.97,1,2021-12-27
CON_000290,C_04623,F1,97.96,-1,2021-11-26
CON_000291,C_00505,M1,84.26,1,2021-04-06
CON_000292,C_01239,F2,104.94,-1,2022-05-08
CON_000293,C_00793,M2,22.94,1,2022-05-21
CON_000294,C_00703,F2,63.6,1,2022-04-06
CON_000295,C_02817,M2,118.87,1,2023-01-06
CON_000296,C_04436,M1,95.81,1,2021-09-05
CON_000297,C_03392,F2,116.02,1,2021-10-29
CON_000298,C_04832,M2,96.86,1,2020-02-17
CON_000299,C_01864,M1,106.86,1,2023-03-08
CON_000300,C_04536,M2,89.19,1,2020-03-06
CON_000301,C_00500,F1,94.85,1,2020-10-11
CON_000302,C_03172,F1,69.93,1,2020-11-10
CON_000303,C_04281,M1,112.04,1,2021-11-07
CON_000304,C_03430,M2,101.63,1,2023-03-09
CON_000305,C_04387,F1,103.61,1,2023-03-21
CON_000306,C_03890,F2,85.67,1,2022-03-11
CON_000307,C_04692,M2,46.98,1,2022-02-19
CON_000308,C_01931,M2,18.74,1,2021-02-22
CON_000309,C_03902,F1,113.24,-1,2022-03-11
CON_000310,C_02449,F1,76.54,1,2020-05-10
CON_000311,C_00647,M1,46.31,1,2022-12-30
CON_000312,C_03235,M2,30.66,1,2022-03-02
CON_000313,C_00285,F2,102.1,1,2021-01-20
CON_000314,C_04114,F1,102.83,1,2022-08-30
CON_000315,C_04680,M2,100.52,-1,2020-08-10
CON_000316,C_04234,F1,82.73,1,2021-11-04
CON_000317,C_04682,M1,53.43,1,2023-03-12
CON_000318,C_01208,M2,46.93,0,2022-07-13
CON_000319,C_00986,M2,15.9,1,2021-09-15
CON_000320,C_03679,M1,102.53,1,2020-07-09
CON_000321,C_01417,F2,24.18,1,2020-12-17
CON_000322,C_01370,F1,81.23,1,2020-08-01
CON_000323,C_01736,M1,67.93,1,2023-02-06
CON_000324,C_01579,M2,70.3,1,2020-12-29
CON_000325,C_01034,M1,112.3,1,2020-03-06
CON_000326,C_00350,M2,18.32,1,2022-09-27
CON_000327,C_03469,M1,96.21,-1,2020-02-24
CON_000328,C_00642,F2,20.47,1,2021-01-17
CON_000329,C_03567,M2,19.01,1,2021-02-11
CON_000330,C_01655,M1,60.13,1,2020-05-22
CON_000331,C_01212,F2,21.62,1,2022-03-01
CON_000332,C_04875,F2,97.86,1,2021-08-04
CON_000333,C_02113,F1,70.6,1,2021-02-25
CON_000334,C_02620,M2,18.05,1,2021-04-22
CON_000335,C_00549,F1,19.25,1,2021-08-19
CON_000336,C_00713,F2,79.33,1,2022-12-09
CON_000337,C_03180,F1,99.64,0,2020-05-23
CON_000338,C_04558,F1,60.97,1,2022-07-20
CON_000339,C_03256,M1,73.23,1,2020-04-27
CON_000340,C_04523,F1,98.98,1,2022-01-24
CON_000341,C_02672,F2,79.1,1,2022-11-27
CON_000342,C_02263,F1,38.6,1,2020-01-23
CON_000343,C_04258,M2,79.37,1,2020-12-17
CON_000344,C_03754,M1,80.97,0,2021-10-31
CON_000345,C_00102,F2,92.08,1,2022-04-21
CON_000346,C_04814,F1,80.19,1,2022-03-11
CON_000347,C_04281,M2,116.77,0,2020-11-17
CON_000348,C_03438,F2,35.72,-1,2020-08-14
CON_000349,C_00922,F1,114.86,1,2020-09-21
CON_000350,C_03396,M1,71.53,1,2023-01-03
CON_000351,C_01226,F1,85.56,1,2022-05-06
CON_000352,C_01215,F2,25.44,1,2022-09-06
CON_000353,C_04642,F2,54.96,1,2020-05-20
CON_000354,C_04817,F2,95.78,1,2022-03-07
CON_000355,C_04774,M2,89.23,-1,2021-02-26
CON_000356,C_00821,F1,19.21,1,2020-09-23
CON_000357,C_00866,F1,72.39,-1,2021-02-25
CON_000358,C_04610,F1,24.27,-1,2021-09-26
CON_000359,C_00828,M1,119.56,1,2022-06-04
CON_000360,C_02344,M2,109.22,1,2022-08-30
CON_000361,C_04388,M2,17.21,1,2020-11-21
CON_000362,C_02817,M1,105.16,1,2023-03-23
CON_000363,C_03367,M2,111.54,1,2021-09-27
CON_000364,C_02164,M1,52.12,1,2021-02-19
CON_000365,C_03138,F2,90.55,1,2022-10-26
CON_000366,C_03978,F2,61.42,0,2022-07-28
CON_000367,C_04687,M2,83.8,1,2021-07-18
CON_000368,C_04989,F2,50.73,1,2021-02-17
CON_000369,C_03876,F2,48.87,1,2020-01-16
CON_000370,C_00307,F2,59.57,1,2020-10-19
CON_000371,C_01411,F1,30.28,-1,2022-07-01
CON_000372,C_02257,F2,102.27,0,2020-05-11
CON_000373,C_03302,F1,51.61,1,2022-03-28
CON_000374,C_01179,M1,57.02,1,2021-05-20
CON_000375,C_04987,M1,108.88,1,2022-12-12
CON_000376,C_03291,M1,67.15,1,2021-11-04
CON_000377,C_00318,M1,72.15,1,2023-03-11
CON_000378,C_03243,M1,115.43,1,2022-10-02
CON_000379,C_02716,F2,108.11,1,2022-07-31
CON_000380,C_01947,F2,32.79,-1,2022-08-05
CON_000381,C_00404,F2,64.69,1,2023-03-25
CON_000382,C_03893,M1,116.99,1,2020-03-21
CON_000383,C_02201,M1,54.1,1,2020-07-05
CON_000384,C_03052,F1,54.02,-1,2021-08-12
CON_000385,C_00166,M2,35.48,1,2022-07-23
CON_000386,C_02768,F2,27.0,0,2021-12-11
CON_000387,C_02483,M2,92.73,1,2021-09-01
CON_000388,C_02548,M1,95.85,1,2022-03-11
CON_000389,C_02297,M1,116.75,1,2020-12-24
CON_000390,C_04028,M1,96.21,1,2022-04-30
CON_000391,C_00805,M2,40.55,1,2021-05-25
CON_000392,C_01868,F1,19.21,-1,2021-01-02
CON_000393,C_01101,M1,118.47,1,2022-06-03
CON_000394,C_02462,F1,50.75,1,2022-07-26
CON_000395,C_03630,F1,47.76,1,2022-02-26
CON_000396,C_02629,F2,110.13,1,2021-01-10
CON_000397,C_02208,M2,76.44,1,2023-03-10
CON_000398,C_03415,M1,37.56,1,2020-07-14
CON_000399,C_04956,F1,108.36,1,2022-03-16
CON_000400,C_00732,M2,119.3,0,2020-03-30
CON_000401,C_01540,M2,24.1,1,2021-05-05
CON_000402,C_03619,M1,105.54,0,2020-11-19
CON_000403,C_01732,F2,56.0,1,2021-07-14
CON_000404,C_03336,F2,70.03,0,2023-01-06
CON_000405,C_03969,F1,111.06,1,2021-08-20
CON_000406,C_04232,F2,117.2,1,2020-05-16
CON_000407,C_03064,F2,42.53,1,2021-03-20
CON_000408,C_00461,F2,37.35,1,2022-10-07
CON_000409,C_04222,M2,23.45,0,2022-04-22
CON_000410,C_01303,M1,73.99,1,2023-02-06
CON_000411,C_00538,M2,16.43,0,2020-09-05
CON_000412,C_02549,M2,58.25,1,2022-01-25
CON_000413,C_04152,M1,22.71,1,2020-06-05
CON_000414,C_03305,M2,57.55,0,2020-08-03
CON_000415,C_01112,F1,19.19,1,2022-10-30
CON_000416,C_04295,F1,102.7,1,2021-10-29
CON_000417,C_04659,M2,37.02,1,2022-04-19
CON_000418,C_00238,F2,49.47,-1,2022-07-12
CON_000419,C_01424,M2,106.36,1,2020-12-03
CON_000420,C_01580,F2,93.36,1,2021-06-01
CON_000421,C_01645,M2,38.0,1,2021-02-28
CON_000422,C_00473,F1,22.55,1,2022-11-02
CON_000423,C_02044,F2,90.15,-1,2020-04-01
CON_000424,C_00271,F1,56.02,0,2022-08-04
CON_000425,C_03740,M2,95.44,1,2020-02-24
CON_000426,C_00415,M1,61.76,1,2020-05-29
CON_000427,C_02953,F2,51.33,1,2022-08-03
CON_000428,C_01632,F2,62.38,1,2022-02-19
CON_000429,C_02245,M2,93.6,1,2021-12-04
CON_000430,C_03018,M2,109.73,1,2022-03-28
CON_000431,C_03803,F2,20.23,1,2021-02-02
CON_000432,C_04138,M1,70.03,1,2022-03-23
CON_000433,C_03252,M2,18.45,1,2020-03-18
CON_000434,C_01015,M2,64.18,1,2020-01-22
CON_000435,C_00251,M2,107.95,-1,2021-05-28
CON_000436,C_01982,M1,52.97,1,2020-08-22
CON_000437,C_03052,F2,112.91,1,2020-10-06
CON_000438,C_04005,F1,81.21,1,2021-10-31
CON_000439,C_04867,M2,113.09,1,2022-08-08
CON_000440,C_03655,M1,94.5,1,2022-09-19
CON_000441,C_01455,F2,25.86,1,2022-08-02
CON_000442,C_03888,F2,39.27,1,2020-05-19
CON_000443,C_04808,M1,56.39,1,2020-06-18
CON_000444,C_04517,M2,32.86,0,2023-01-28
CON_000445,C_02866,F1,66.97,1,2021-05-11
CON_000446,C_02821,M2,64.49,-1,2022-06-15
CON_000447,C_01340,F2,115.41,1,2020-10-14
CON_000448,C_02119,F1,60.54,1,2022-08-22
CON_000449,C_00741,M2,97.49,1,2021-07-25
CON_000450,C_02336,F1,113.9,1,2020-11-26
CON_000451,C_00225,M1,107.08,1,2020-12-15
CON_000452,C_03167,M2,36.91,1,2020-02-06
CON_000453,C_00407,F2,67.08,1,2020-07-24
CON_000454,C_01335,F2,51.51,1,2020-12-28
CON_000455,C_04688,F1,56.99,1,2021-08-25
CON_000456,C_01756,M1,52.88,1,2020-09-11
CON_000457,C_01814,M2,101.77,1,2022-12-30
CON_000458,C_01845,M1,62.47,1,2022-03-11
CON_000459,C_01694,M1,69.99,1,2020-12-10
CON_000460,C_02205,F1,118.16,1,2020-06-07
CON_000461,C_03355,F1,21.3,1,2020-01-23
CON_000462,C_04205,M2,66.24,1,2021-07-13
CON_000463,C_00165,F2,96.28,1,2020-11-10
CON_000464,C_00073,M2,30.87,0,2022-06-21
CON_000465,C_03884,M1,79.21,1,2022-01-03
CON_000466,C_01084,F1,40.14,1,2020-12-30
CON_000467,C_01419,M1,106.08,0,2021-03-19
CON_000468,C_04925,F1,49.35,1,2020-03-11
CON_000469,C_00070,F2,49.55,1,2022-12-26
CON_000470,C_01834,M1,77.81,1,2021-03-18
CON_000471,C_02068,F1,34.27,1,2022-06-24
CON_000472,C_04984,M2,44.91,1,2020-04-07
CON_000473,C_02503,M2,58.75,1,2022-12-06
CON_000474,C_02256,M2,52.13,0,2020-07-29
CON_000475,C_03472,M1,70.11,1,2022-03-10
CON_000476,C_03085,F1,77.96,1,2021-09-23
CON_000477,C_02857,F1,74.5,1,2022-06-28
CON_000478,C_03761,F1,83.69,-1,2020-04-17
CON_000479,C_02065,M1,47.31,1,2020-01-10
CON_000480,C_01788,F1,28.27,1,2020-04-09
CON_000481,C_03824,F2,94.88,1,2022-02-11
CON_000482,C_02476,M1,104.33,1,2021-02-17
CON_000483,C_04266,F2,41.99,1,2021-05-26
CON_000484,C_03254,F2,57.74,-1,2022-02-06
CON_000485,C_04789,M2,67.35,1,2021-05-03
CON_000486,C_00839,M1,71.0,1,2021-02-13
CON_000487,C_00061,F1,84.25,-1,2020-07-06
CON_000488,C_04191,F2,19.37,1,2020-02-02
CON_000489,C_03066,M1,90.76,1,2022-05-13
CON_000490,C_04600,F1,21.51,1,2020-02-27
CON_000491,C_04865,M2,64.17,1,2020-01-30
CON_000492,C_04990,M1,101.91,1,2021-11-21
CON_000493,C_02316,M1,62.38,-1,2021-01-28
CON_000494,C_02446,M1,30.65,1,2020-05-09
CON_000495,C_00886,F1,118.43,1,2021-03-27
CON_000496,C_03947,F2,108.37,1,2020-07-16
CON_000497,C_00523,F2,95.99,1,2020-12-09
CON_000498,C_02755,M1,58.21,1,2020-12-08
CON_000499,C_02265,M1,34.3,1,2020-03-31
CON_000500,C_02664,F1,113.85,1,2022-05-01
CON_000501,C_02269,M2,70.9,1,2022-11-15
CON_000502,C_02140,M1,104.5,1,2020-08-08
CON_000503,C_02448,M1,50.92,1,2021-10-31
CON_000504,C_01544,M2,50.21,1,2021-10-22
CON_000505,C_01229,M1,118.48,1,2023-02-25
CON_000506,C_04238,F2,69.79,1,2021-01-23
CON_000507,C_01969,M1,29.77,1,2021-02-28
CON_000508,C_00466,F2,38.07,1,2023-01-14
CON_000509,C_04916,F1,65.6,1,2022-03-20
CON_000510,C_03311,F1,19.46,1,2022-05-26
CON_000511,C_02619,F2,63.57,1,2020-09-04
CON_000512,C_01147,F2,58.99,1,2021-04-20
CON_000513,C_00209,M2,96.83,1,2021-03-13
CON_000514,C_04075,F2,52.27,1,2020-08-04
